Length(mm),Welding Current (avg) (A),Welding Voltage (avg) (V),Welding Wire Speed (avg) (m/min),Welding Gas Usage (l),Electricity Usage (W),Welding Robot Speed (m/s),Heat Input (j/mm),Welding Cycle Time
21.00,95.74,14.35,4.33,0.40,0.00,0.00,0,1.69
21.00,102.74,13.40,4.04,0.42,0.00,0.00,0,1.70
21.00,99.79,13.24,4.53,0.43,0.00,0.00,0,1.70
21.00,101.00,13.88,4.43,0.46,0.00,0.00,0,1.72
21.00,103.74,12.65,4.79,0.45,0.00,0.00,0,1.72
21.00,96.24,14.78,4.08,0.44,0.00,0.00,0,1.72
21.00,97.24,13.83,4.72,0.40,0.00,0.00,0,1.73
21.00,103.50,14.10,4.67,0.46,0.00,0.00,0,1.73
21.00,99.33,13.43,4.34,0.49,0.00,0.01,190.62,1.75
21.00,111.79,13.84,4.28,0.45,0.00,0.01,162.86,1.75
21.00,94.99,14.88,4.75,0.46,0.00,0.00,0,1.75
21.00,101.16,13.72,4.58,0.46,0.00,0.00,0,1.77
21.00,105.49,13.90,4.89,0.45,0.00,0.00,0,1.77
21.00,98.49,14.50,4.41,0.43,0.00,0.00,0,1.77
21.00,99.39,12.80,4.55,0.46,0.00,0.00,0,1.78
21.00,103.00,13.02,4.25,0.45,0.00,0.00,0,1.78
21.00,105.24,13.25,4.09,0.45,0.00,0.00,0,1.78
21.00,94.59,15.40,4.56,0.45,0.00,0.00,0,1.78
21.00,108.83,10.73,4.20,0.53,0.00,0.01,210.59,1.78
21.00,107.39,12.94,4.20,0.46,0.00,0.01,182.85,1.80
21.00,110.19,12.68,4.73,0.44,0.00,0.01,147.08,1.80
21.00,94.59,14.64,4.52,0.46,0.00,0.00,0,1.80
21.00,106.99,12.20,4.03,0.42,0.00,0.00,0,1.81
21.00,96.40,14.80,4.61,0.48,0.00,0.00,0,1.81
21.00,120.79,12.70,4.85,0.47,0.00,0.01,161.48,1.81
21.00,99.39,14.16,4.61,0.45,0.00,0.00,0,1.81
21.00,103.74,13.28,4.95,0.46,0.00,0.00,0,1.81
21.00,122.59,13.24,5.18,0.48,0.00,0.01,178.51,1.81
21.00,99.79,13.74,4.24,0.43,0.00,0.00,0,1.83
21.00,98.79,13.68,4.38,0.45,0.00,0.00,0,1.83
21.00,93.00,15.28,4.48,0.44,0.00,0.00,0,1.83
21.00,108.59,12.72,4.70,0.44,0.00,0.00,0,1.84
21.00,107.99,12.30,4.19,0.45,0.00,0.00,0,1.84
21.00,106.19,12.70,3.97,0.47,0.00,0.00,0,1.84
21.00,97.99,14.74,4.51,0.48,0.00,0.00,0,1.84
21.00,104.59,13.54,4.29,0.47,0.00,0.00,0,1.84
21.00,98.20,14.80,4.31,0.50,0.00,0.00,0,1.86
21.00,106.79,12.22,4.25,0.48,0.00,0.00,0,1.86
21.00,96.20,14.82,4.65,0.49,0.00,0.00,0,1.86
21.00,99.39,13.56,4.67,0.45,0.00,0.00,0,1.88
21.00,114.20,13.16,3.88,0.46,0.00,0.01,158.19,1.88
21.00,110.32,13.68,5.12,0.49,0.00,0.01,190.68,1.88
21.00,105.24,12.33,4.01,0.45,0.00,0.00,0,1.89
21.00,104.99,12.48,4.44,0.47,0.00,0.00,0,1.89
21.00,107.50,12.35,4.38,0.45,0.00,0.00,0,1.89
21.00,104.83,10.83,4.13,0.58,0.00,0.01,204.77,1.89
21.00,97.19,14.52,4.41,0.49,0.00,0.00,0,1.89
21.00,119.99,12.22,3.74,0.48,0.00,0.01,154.35,1.89
21.00,104.79,13.86,4.93,0.51,0.00,0.00,0,1.89
21.00,98.20,14.84,4.46,0.49,0.00,0.00,0,1.89
21.00,107.59,12.24,4.57,0.49,0.00,0.00,0,1.91
21.00,99.39,13.42,4.39,0.48,0.00,0.00,0,1.91
21.00,107.49,12.15,3.68,0.48,0.00,0.00,0,1.91
21.00,106.49,12.20,4.16,0.45,0.00,0.00,0,1.91
21.00,103.99,12.58,4.55,0.44,0.00,0.00,0,1.91
21.00,106.59,12.42,4.14,0.49,0.00,0.01,157.61,1.91
21.00,104.00,13.03,4.82,0.48,0.00,0.00,0,1.91
21.00,96.39,14.76,4.42,0.50,0.00,0.00,0,1.91
21.00,101.83,13.78,4.52,0.51,0.00,0.01,160.4,1.91
21.00,103.19,13.46,4.93,0.49,0.00,0.00,0,1.91
21.00,98.39,14.12,4.43,0.48,0.00,0.00,0,1.91
21.00,97.79,13.92,4.32,0.45,0.00,0.00,0,1.92
21.00,107.24,12.10,4.17,0.47,0.00,0.00,0,1.92
21.00,117.33,12.65,4.71,0.51,0.00,0.01,187.48,1.92
21.00,103.99,13.40,4.97,0.50,0.00,0.00,0,1.92
21.00,103.59,13.34,5.00,0.51,0.00,0.00,0,1.92
21.00,97.99,14.56,4.62,0.51,0.00,0.00,0,1.92
21.00,96.79,14.26,4.38,0.49,0.00,0.00,0,1.92
21.00,121.60,12.50,4.51,0.51,0.00,0.01,159.99,1.92
21.00,107.16,12.55,4.36,0.52,0.00,0.01,153.71,1.94
21.00,108.19,12.68,4.79,0.51,0.00,0.01,163.32,1.94
21.00,99.49,13.73,3.73,0.45,0.00,0.00,0,1.94
21.00,108.20,12.58,3.80,0.47,0.00,0.01,143.28,1.94
21.00,121.33,12.33,4.54,0.49,0.00,0.01,189.02,1.95
21.00,94.19,15.02,4.20,0.52,0.00,0.00,0,1.95
21.00,94.49,14.65,3.74,0.47,0.00,0.00,0,1.95
21.00,103.79,12.76,3.95,0.47,0.00,0.00,0,1.95
21.00,100.99,13.65,4.41,0.51,0.00,0.00,0,1.95
21.00,117.16,13.03,4.64,0.49,0.00,0.01,160.73,1.97
21.00,98.19,13.78,4.41,0.48,0.00,0.00,0,1.97
21.00,94.79,14.72,4.31,0.48,0.00,0.00,0,1.97
21.00,100.19,13.92,4.06,0.50,0.00,0.00,0,1.98
21.00,103.19,13.06,4.29,0.50,0.00,0.00,0,1.98
21.00,103.79,12.98,3.88,0.49,0.00,0.00,0,1.98
21.00,109.66,12.65,4.61,0.53,0.00,0.01,195.35,1.98
21.00,109.19,12.56,4.40,0.49,0.00,0.00,0,1.99
21.00,109.19,12.52,3.74,0.50,0.00,0.01,143.9,1.99
21.00,96.80,14.46,4.45,0.52,0.00,0.00,0,1.99
21.00,107.99,12.55,4.56,0.49,0.00,0.00,0,2.00
21.00,98.24,13.93,3.73,0.49,0.00,0.00,0,2.00
21.00,108.59,12.74,4.62,0.53,0.00,0.01,164.7,2.00
21.00,119.79,12.10,4.48,0.52,0.00,0.01,190.72,2.00
21.00,103.40,12.70,4.82,0.54,0.00,0.00,0,2.00
21.00,94.59,14.42,4.26,0.52,0.00,0.00,0,2.00
21.00,97.40,14.28,4.34,0.53,0.00,0.01,165.57,2.00
21.00,93.19,15.38,4.31,0.47,0.00,0.00,0,2.02
21.00,104.99,12.80,3.56,0.48,0.00,0.00,0,2.02
21.00,96.00,14.34,4.51,0.54,0.00,0.00,0,2.02
21.00,98.20,14.08,4.33,0.51,0.00,0.00,0,2.02
21.00,97.39,14.40,4.62,0.53,0.00,0.00,0,2.02
21.00,102.14,13.79,4.36,0.54,0.00,0.01,156.44,2.02
21.00,107.00,11.95,3.63,0.48,0.00,0.00,0,2.02
21.00,107.24,12.00,4.16,0.48,0.00,0.00,0,2.02
21.00,102.66,13.08,4.67,0.52,0.00,0.00,0,2.02
21.00,94.74,14.90,4.11,0.50,0.00,0.00,0,2.03
21.00,122.39,12.88,5.21,0.50,0.00,0.01,207.42,2.03
21.00,117.79,13.08,3.82,0.51,0.00,0.01,162.18,2.03
21.00,96.59,13.52,4.11,0.51,0.00,0.01,155.46,2.03
21.00,114.99,13.28,4.58,0.52,0.00,0.01,192.93,2.03
21.00,109.33,14.03,4.06,0.49,0.00,0.01,193.79,2.03
21.00,102.33,14.15,4.69,0.55,0.00,0.01,165.5,2.03
21.00,104.79,12.70,4.31,0.51,0.00,0.00,0,2.03
21.00,117.39,12.86,4.35,0.52,0.00,0.01,158.91,2.03
21.00,121.79,12.14,4.39,0.47,0.00,0.01,194.54,2.03
21.00,115.80,12.84,3.61,0.49,0.00,0.01,195.63,2.05
21.00,98.39,13.88,4.38,0.52,0.00,0.01,162.58,2.05
21.00,101.39,13.72,4.49,0.53,0.00,0.00,0,2.06
21.00,106.67,12.23,4.37,0.56,0.00,0.01,183.77,2.06
21.00,108.33,14.70,4.79,0.51,0.00,0.01,201.15,2.06
21.00,98.24,13.73,3.85,0.50,0.00,0.00,0,2.08
21.00,114.25,13.03,3.62,0.50,0.00,0.01,156.64,2.08
21.00,103.20,12.44,4.56,0.53,0.00,0.00,0,2.08
21.00,114.39,12.92,4.61,0.51,0.00,0.01,194.47,2.08
21.00,108.39,13.00,4.65,0.51,0.00,0.01,148.32,2.08
21.00,116.42,13.07,4.91,0.54,0.00,0.01,186.85,2.08
21.00,101.59,13.20,4.05,0.51,0.00,0.00,0,2.08
21.00,119.19,12.92,3.93,0.53,0.00,0.01,162.1,2.09
21.00,94.99,14.10,4.22,0.55,0.00,0.00,0,2.09
21.00,96.99,13.60,4.08,0.53,0.00,0.00,0,2.09
21.00,121.19,12.48,4.36,0.53,0.00,0.01,199.01,2.09
21.00,104.99,13.38,5.12,0.54,0.00,0.00,0,2.09
21.00,102.14,13.94,4.65,0.59,0.00,0.01,189.86,2.09
21.00,111.82,12.93,4.10,0.51,0.00,0.01,182.68,2.09
21.00,103.79,13.36,4.25,0.55,0.00,0.01,165.07,2.11
21.00,113.99,14.28,4.90,0.52,0.00,0.01,171.35,2.11
21.00,110.66,13.20,4.95,0.52,0.00,0.01,184.5,2.11
21.00,108.39,12.72,3.90,0.52,0.00,0.01,181.42,2.11
21.00,105.79,12.42,4.18,0.53,0.00,0.00,0,2.13
21.00,101.99,13.20,4.16,0.49,0.00,0.00,0,2.13
21.00,119.82,12.85,4.19,0.55,0.00,0.01,194.49,2.13
21.00,95.19,15.14,4.46,0.52,0.00,0.00,0,2.13
21.00,104.24,13.53,4.06,0.51,0.00,0.00,0,2.13
21.00,99.39,13.78,4.38,0.52,0.00,0.00,0,2.14
