Length(mm),Welding Current (avg) (A),Welding Voltage (avg) (V),Welding Wire Speed (avg) (m/min),Welding Gas Usage (l),Welding Robot Speed (m/s),Welding Cycle Time
21.00,108.20,12.58,3.80,0.47,0.01,1.94
21.00,121.33,12.33,4.54,0.49,0.01,1.95
21.00,94.19,15.02,4.20,0.52,0.00,1.95
21.00,94.49,14.65,3.74,0.47,0.00,1.95
21.00,103.79,12.76,3.95,0.47,0.00,1.95
21.00,100.99,13.65,4.41,0.51,0.00,1.95
21.00,117.16,13.03,4.64,0.49,0.01,1.97
21.00,98.19,13.78,4.41,0.48,0.00,1.97
21.00,94.79,14.72,4.31,0.48,0.00,1.97
21.00,100.19,13.92,4.06,0.50,0.00,1.98
21.00,103.19,13.06,4.29,0.50,0.00,1.98
21.00,103.79,12.98,3.88,0.49,0.00,1.98
21.00,109.66,12.65,4.61,0.53,0.01,1.98
21.00,109.19,12.56,4.40,0.49,0.00,1.99
21.00,109.19,12.52,3.74,0.50,0.01,1.99
21.00,96.80,14.46,4.45,0.52,0.00,1.99
21.00,107.99,12.55,4.56,0.49,0.00,2.00
21.00,98.24,13.93,3.73,0.49,0.00,2.00
21.00,108.59,12.74,4.62,0.53,0.01,2.00
21.00,119.79,12.10,4.48,0.52,0.01,2.00
21.00,103.40,12.70,4.82,0.54,0.00,2.00
21.00,94.59,14.42,4.26,0.52,0.00,2.00
21.00,97.40,14.28,4.34,0.53,0.01,2.00
21.00,93.19,15.38,4.31,0.47,0.00,2.02
21.00,104.99,12.80,3.56,0.48,0.00,2.02
21.00,96.00,14.34,4.51,0.54,0.00,2.02
21.00,98.20,14.08,4.33,0.51,0.00,2.02
21.00,97.39,14.40,4.62,0.53,0.00,2.02
21.00,102.14,13.79,4.36,0.54,0.01,2.02
21.00,107.00,11.95,3.63,0.48,0.00,2.02
21.00,107.24,12.00,4.16,0.48,0.00,2.02
21.00,102.66,13.08,4.67,0.52,0.00,2.02
21.00,94.74,14.90,4.11,0.50,0.00,2.03
21.00,122.39,12.88,5.21,0.50,0.01,2.03
21.00,117.79,13.08,3.82,0.51,0.01,2.03
21.00,96.59,13.52,4.11,0.51,0.01,2.03
21.00,114.99,13.28,4.58,0.52,0.01,2.03
21.00,109.33,14.03,4.06,0.49,0.01,2.03
21.00,102.33,14.15,4.69,0.55,0.01,2.03
21.00,104.79,12.70,4.31,0.51,0.00,2.03
21.00,117.39,12.86,4.35,0.52,0.01,2.03
21.00,121.79,12.14,4.39,0.47,0.01,2.03
21.00,115.80,12.84,3.61,0.49,0.01,2.05
21.00,98.39,13.88,4.38,0.52,0.01,2.05
21.00,101.39,13.72,4.49,0.53,0.00,2.06
21.00,106.67,12.23,4.37,0.56,0.01,2.06
21.00,108.33,14.70,4.79,0.51,0.01,2.06
21.00,98.24,13.73,3.85,0.50,0.00,2.08
21.00,114.25,13.03,3.62,0.50,0.01,2.08
21.00,103.20,12.44,4.56,0.53,0.00,2.08
21.00,114.39,12.92,4.61,0.51,0.01,2.08
21.00,108.39,13.00,4.65,0.51,0.01,2.08
21.00,116.42,13.07,4.91,0.54,0.01,2.08
21.00,101.59,13.20,4.05,0.51,0.00,2.08
21.00,119.19,12.92,3.93,0.53,0.01,2.09
21.00,94.99,14.10,4.22,0.55,0.00,2.09
21.00,96.99,13.60,4.08,0.53,0.00,2.09
21.00,121.19,12.48,4.36,0.53,0.01,2.09
21.00,104.99,13.38,5.12,0.54,0.00,2.09
21.00,102.14,13.94,4.65,0.59,0.01,2.09
21.00,111.82,12.93,4.10,0.51,0.01,2.09
21.00,103.79,13.36,4.25,0.55,0.01,2.11
21.00,113.99,14.28,4.90,0.52,0.01,2.11
21.00,110.66,13.20,4.95,0.52,0.01,2.11
21.00,108.39,12.72,3.90,0.52,0.01,2.11
21.00,105.79,12.42,4.18,0.53,0.00,2.13
21.00,101.99,13.20,4.16,0.49,0.00,2.13
21.00,119.82,12.85,4.19,0.55,0.01,2.13
21.00,95.19,15.14,4.46,0.52,0.00,2.13
21.00,104.24,13.53,4.06,0.51,0.00,2.13
21.00,99.39,13.78,4.38,0.52,0.00,2.14
21.00,121.83,13.07,4.50,0.55,0.01,2.14
21.00,103.66,12.94,4.01,0.55,0.01,2.14
21.00,120.74,12.25,4.22,0.55,0.01,2.14
21.00,116.00,12.93,3.68,0.54,0.01,2.14
21.00,100.66,13.72,4.44,0.57,0.01,2.14
21.00,104.49,13.65,4.81,0.51,0.00,2.14
21.00,102.33,12.87,4.57,0.56,0.01,2.14
21.00,107.59,12.36,4.41,0.57,0.01,2.14
21.00,116.59,12.66,3.27,0.51,0.01,2.16
21.00,111.83,12.90,4.50,0.55,0.01,2.16
21.00,97.59,14.30,4.19,0.53,0.00,2.16
21.00,120.39,12.18,4.33,0.52,0.01,2.16
21.00,111.16,12.85,4.39,0.57,0.01,2.17
21.00,109.66,12.37,4.70,0.56,0.01,2.17
21.00,98.16,13.58,4.27,0.57,0.01,2.17
21.00,106.19,13.10,4.17,0.52,0.01,2.17
21.00,96.16,14.23,4.40,0.57,0.01,2.17
21.00,107.83,13.82,4.48,0.52,0.01,2.17
21.00,98.99,14.78,4.68,0.55,0.00,2.17
21.00,107.49,12.28,4.21,0.53,0.00,2.19
21.00,103.16,13.07,4.55,0.59,0.01,2.19
21.00,114.19,13.40,4.93,0.52,0.01,2.19
21.00,102.66,13.50,4.82,0.56,0.01,2.19
21.00,101.39,13.48,4.83,0.56,0.00,2.19
21.00,94.99,14.29,4.18,0.58,0.01,2.19
21.00,121.79,12.64,4.38,0.57,0.01,2.19
21.00,98.66,14.98,4.98,0.59,0.01,2.19
21.00,95.66,12.83,4.12,0.58,0.01,2.19
21.00,115.99,12.87,3.90,0.57,0.01,2.20
21.00,102.99,12.77,3.89,0.57,0.01,2.20
21.00,103.49,12.75,4.39,0.57,0.01,2.20
21.00,99.19,14.18,4.01,0.57,0.01,2.22
21.00,121.66,11.97,4.01,0.59,0.01,2.22
21.00,96.49,14.10,4.11,0.60,0.01,2.22
21.00,92.99,15.15,4.10,0.55,0.01,2.22
21.00,108.83,13.03,4.30,0.56,0.01,2.22
21.00,101.79,14.30,4.85,0.56,0.00,2.23
21.00,109.39,12.52,4.34,0.57,0.01,2.23
21.00,99.16,13.45,4.09,0.57,0.01,2.23
21.00,99.66,13.59,4.02,0.57,0.01,2.23
21.00,100.79,14.17,3.92,0.56,0.01,2.23
21.00,113.19,13.78,4.48,0.51,0.01,2.24
21.00,106.33,12.03,4.52,0.58,0.01,2.25
21.00,99.50,13.53,4.37,0.59,0.01,2.25
21.00,102.66,12.85,4.32,0.60,0.01,2.25
21.00,109.24,13.02,3.78,0.56,0.01,2.25
21.00,118.49,12.45,4.10,0.56,0.01,2.25
21.00,111.39,13.40,4.59,0.55,0.01,2.25
21.00,121.80,12.70,4.81,0.56,0.01,2.25
21.00,115.33,13.52,4.24,0.55,0.01,2.25
21.00,103.00,13.54,4.84,0.56,0.00,2.25
21.00,95.50,13.45,3.97,0.60,0.01,2.25
21.00,100.59,13.70,4.33,0.55,0.00,2.27
21.00,116.16,13.40,4.12,0.57,0.01,2.27
21.00,114.20,13.70,4.17,0.55,0.01,2.27
21.00,122.99,12.28,4.60,0.58,0.01,2.28
21.00,115.13,12.71,4.40,0.58,0.01,2.28
21.00,103.12,11.22,4.24,0.63,0.00,2.30
21.00,112.99,13.27,4.49,0.59,0.01,2.30
21.00,107.39,13.12,4.34,0.60,0.01,2.31
21.00,105.79,12.54,3.90,0.62,0.01,2.31
21.00,106.19,13.42,5.17,0.57,0.00,2.31
21.00,97.49,14.60,4.64,0.57,0.00,2.31
21.00,98.85,14.01,4.29,0.59,0.01,2.33
21.00,114.79,13.28,4.43,0.57,0.01,2.33
21.00,107.79,12.32,3.89,0.60,0.01,2.33
21.00,100.33,14.07,4.46,0.60,0.01,2.33
21.00,101.85,11.33,4.37,0.62,0.00,2.34
21.00,102.16,14.44,3.96,0.58,0.00,2.34
21.00,105.83,11.50,3.94,0.64,0.00,2.34
21.00,96.85,14.26,4.15,0.63,0.01,2.34
21.00,94.85,14.46,4.36,0.62,0.01,2.36
21.00,118.17,13.58,4.94,0.57,0.01,2.36
21.00,107.33,12.28,4.11,0.62,0.01,2.38
21.00,100.79,13.68,3.86,0.63,0.01,2.38
21.00,121.19,13.34,4.69,0.59,0.01,2.38
21.00,111.16,12.53,4.58,0.57,0.01,2.39
21.00,98.83,13.77,4.45,0.59,0.01,2.39
21.00,106.16,12.92,4.48,0.59,0.01,2.39
21.00,109.79,12.44,4.32,0.57,0.01,2.41
21.00,106.33,11.35,4.37,0.67,0.00,2.42
21.00,98.99,14.07,4.42,0.61,0.01,2.42
21.00,110.66,12.65,4.60,0.58,0.01,2.42
21.00,101.85,11.19,4.03,0.64,0.00,2.44
21.00,117.49,13.20,3.81,0.61,0.01,2.44
21.00,101.13,13.27,4.38,0.63,0.01,2.45
26.00,109.87,11.89,5.39,0.73,0.00,2.47
21.00,100.99,13.80,4.57,0.64,0.01,2.47
21.00,89.83,13.98,4.36,0.66,0.01,2.47
21.00,103.49,13.42,4.20,0.62,0.01,2.47
32.00,108.36,11.84,5.54,0.77,0.01,2.47
21.00,99.66,13.38,4.40,0.64,0.01,2.48
21.00,99.99,14.72,4.60,0.61,0.01,2.48
26.00,103.62,11.39,3.85,0.73,0.01,2.49
21.00,108.85,12.51,4.44,0.64,0.01,2.49
21.00,105.99,10.84,4.10,0.68,0.00,2.50
21.00,102.50,12.78,4.85,0.68,0.00,2.50
49.00,95.42,11.43,4.36,0.75,0.00,2.50
21.00,104.66,13.48,4.49,0.62,0.01,2.50
21.00,106.42,11.46,4.67,0.68,0.00,2.52
21.00,95.99,10.79,3.64,0.69,0.01,2.52
21.00,105.56,11.59,4.06,0.65,0.00,2.52
21.00,99.49,13.53,3.88,0.61,0.01,2.52
21.00,97.33,13.67,4.19,0.68,0.01,2.52
21.00,104.74,12.92,4.95,0.68,0.00,2.53
21.00,106.49,10.95,4.13,0.67,0.00,2.53
21.00,102.42,11.41,4.31,0.66,0.00,2.53
21.00,104.25,11.85,4.91,0.68,0.00,2.55
21.00,105.85,13.34,4.50,0.62,0.01,2.56
21.00,106.85,11.36,4.43,0.67,0.00,2.56
21.00,99.71,11.23,4.01,0.70,0.00,2.56
21.00,104.42,11.99,3.93,0.67,0.00,2.58
21.00,100.00,11.15,4.17,0.70,0.00,2.58
21.00,104.85,11.79,4.16,0.66,0.00,2.58
21.00,94.28,11.29,3.83,0.65,0.00,2.58
21.00,105.57,11.74,4.26,0.65,0.00,2.58
21.00,100.99,11.18,4.17,0.69,0.00,2.58
21.00,99.85,11.06,3.65,0.69,0.00,2.58
21.00,100.87,13.09,5.01,0.71,0.00,2.58
21.00,106.56,11.04,4.04,0.67,0.00,2.58
21.00,107.28,12.03,4.66,0.69,0.00,2.58
21.00,111.74,10.49,3.61,0.74,0.00,2.59
21.00,102.28,11.27,3.70,0.66,0.00,2.59
21.00,100.42,11.69,4.07,0.67,0.00,2.59
21.00,100.42,11.00,3.71,0.68,0.00,2.59
21.00,103.49,11.88,3.51,0.65,0.00,2.59
21.00,105.71,12.53,4.48,0.63,0.01,2.59
21.00,95.37,10.73,3.60,0.70,0.01,2.59
21.00,99.99,11.14,3.89,0.67,0.00,2.61
21.00,103.75,12.12,4.02,0.70,0.00,2.61
21.00,99.56,11.06,4.13,0.69,0.00,2.61
21.00,102.42,11.34,4.01,0.72,0.00,2.61
21.00,112.56,10.80,3.89,0.74,0.00,2.63
21.00,105.99,11.59,4.24,0.65,0.00,2.63
21.00,106.33,11.45,4.56,0.64,0.00,2.63
26.00,106.56,12.67,4.08,0.72,0.01,2.63
