Length(mm),Welding Current (avg) (A),Welding Voltage (avg) (V),Welding Wire Speed (avg) (m/min),Welding Gas Usage (l),Welding Robot Speed (m/s),Welding Cycle Time
21.00,104.37,12.04,4.07,0.76,0.00,2.91
32.00,109.87,12.89,5.30,0.86,0.01,2.91
21.00,96.61,12.43,5.00,0.75,0.01,2.91
21.00,92.99,11.50,4.31,0.74,0.00,2.91
21.00,92.24,10.81,3.43,0.75,0.01,2.91
21.00,94.99,10.66,3.80,0.78,0.00,2.91
21.00,95.99,11.05,3.91,0.75,0.01,2.91
21.00,113.24,10.63,4.39,0.78,0.00,2.91
21.00,105.12,11.79,4.20,0.84,0.01,2.91
21.00,107.42,11.06,4.38,0.80,0.00,2.91
21.00,110.99,11.20,3.78,0.83,0.01,2.92
21.00,101.74,12.82,4.61,0.78,0.00,2.92
21.00,106.62,12.16,4.64,0.76,0.00,2.92
21.00,104.99,10.30,3.74,0.85,0.00,2.92
21.00,103.55,11.64,4.07,0.85,0.00,2.92
21.00,105.21,11.30,3.67,0.83,0.01,2.92
21.00,106.49,12.11,4.05,0.82,0.01,2.92
21.00,104.99,12.13,4.26,0.85,0.01,2.92
21.00,102.24,10.94,3.70,0.85,0.01,2.92
21.00,96.33,13.39,4.97,0.80,0.00,2.92
21.00,103.10,12.61,4.18,0.78,0.00,2.92
21.00,105.00,12.17,4.59,0.78,0.00,2.92
21.00,93.99,13.54,4.23,0.75,0.00,2.92
21.00,107.00,12.65,5.15,0.77,0.00,2.92
21.00,100.74,12.79,4.90,0.81,0.00,2.92
26.00,111.49,11.61,4.11,0.81,0.01,2.92
26.00,108.49,12.39,3.84,0.79,0.01,2.92
26.00,110.99,11.40,3.77,0.81,0.01,2.92
26.00,106.99,11.69,3.68,0.84,0.01,2.92
32.00,112.86,12.81,5.39,0.87,0.01,2.92
21.00,93.86,12.15,4.27,0.74,0.01,2.92
21.00,105.62,11.15,3.49,0.84,0.00,2.94
21.00,110.37,10.53,3.94,0.82,0.00,2.94
21.00,97.99,11.80,3.82,0.84,0.01,2.94
21.00,104.99,12.03,4.60,0.85,0.01,2.94
21.00,103.12,13.14,4.95,0.76,0.00,2.94
21.00,106.14,12.04,4.87,0.75,0.00,2.94
21.00,102.87,11.25,4.17,0.72,0.00,2.94
21.00,101.00,11.91,4.58,0.76,0.00,2.94
26.00,107.77,12.19,3.91,0.82,0.01,2.94
32.00,108.61,15.81,6.96,0.85,0.01,2.94
21.00,93.10,10.99,3.26,0.74,0.01,2.94
21.00,91.12,10.61,3.16,0.72,0.01,2.94
21.00,107.49,10.93,3.87,0.87,0.00,2.94
21.00,104.87,11.95,4.01,0.73,0.01,2.94
21.00,104.50,11.78,4.43,0.75,0.00,2.94
26.00,107.49,12.36,3.89,0.81,0.01,2.94
26.00,111.84,11.54,3.87,0.80,0.01,2.94
26.00,103.74,12.79,4.10,0.79,0.01,2.94
32.00,110.21,13.47,6.17,0.87,0.01,2.94
21.00,91.86,10.54,3.21,0.75,0.01,2.94
21.00,101.62,11.94,3.40,0.80,0.00,2.95
21.00,103.88,11.14,3.55,0.81,0.00,2.95
21.00,100.62,11.55,3.60,0.86,0.01,2.95
21.00,97.11,12.70,4.20,0.75,0.00,2.95
26.00,98.77,12.16,3.73,0.83,0.01,2.95
32.00,112.99,13.67,6.07,0.76,0.01,2.95
32.00,112.88,13.50,6.13,0.87,0.01,2.95
21.00,95.99,11.03,3.97,0.74,0.01,2.95
21.00,103.28,11.39,3.67,0.84,0.00,2.95
21.00,102.87,12.85,4.13,0.85,0.01,2.97
21.00,100.21,12.57,4.37,0.84,0.01,2.97
21.00,91.37,10.59,3.36,0.77,0.00,2.97
21.00,103.00,11.43,3.92,0.86,0.00,2.97
21.00,96.77,10.82,4.11,0.87,0.00,2.97
21.00,103.66,11.34,3.61,0.80,0.00,2.97
21.00,111.74,11.00,3.71,0.84,0.01,2.97
21.00,100.49,11.76,3.81,0.84,0.01,2.97
21.00,104.74,11.75,4.20,0.79,0.00,2.97
21.00,100.87,11.54,3.94,0.77,0.00,2.97
21.00,100.37,11.10,3.97,0.76,0.00,2.97
21.00,101.49,12.59,4.43,0.82,0.00,2.97
26.00,111.74,11.56,3.97,0.79,0.01,2.97
26.00,111.86,11.57,3.90,0.85,0.01,2.97
32.00,109.87,12.00,4.36,0.88,0.01,2.97
32.00,110.22,13.00,5.49,0.88,0.01,2.98
21.00,103.22,10.94,3.82,0.86,0.00,2.98
21.00,112.99,10.46,3.92,0.82,0.00,2.98
21.00,105.24,11.92,3.99,0.85,0.01,2.98
21.00,102.75,12.03,4.49,0.86,0.01,2.98
21.00,106.32,11.84,3.97,0.86,0.01,2.98
21.00,105.66,11.97,4.13,0.84,0.01,2.98
21.00,103.10,10.79,3.89,0.85,0.01,2.98
21.00,105.50,11.64,4.36,0.78,0.00,2.98
21.00,105.88,12.16,4.61,0.78,0.00,2.98
21.00,107.28,11.48,4.49,0.78,0.00,2.98
21.00,106.50,11.00,4.24,0.77,0.00,2.98
49.00,95.53,11.94,4.46,0.94,0.00,2.98
26.00,111.70,11.44,3.93,0.81,0.01,2.98
21.00,99.24,11.29,3.83,0.84,0.00,2.99
21.00,106.22,11.19,3.75,0.83,0.01,2.99
21.00,100.37,11.84,3.87,0.82,0.01,2.99
21.00,101.77,11.55,3.54,0.85,0.01,2.99
21.00,105.10,12.77,4.82,0.83,0.01,2.99
21.00,103.32,12.65,3.98,0.86,0.01,2.99
21.00,106.36,11.69,4.12,0.83,0.01,2.99
21.00,105.99,11.00,3.51,0.85,0.01,2.99
21.00,100.88,11.57,3.62,0.88,0.01,2.99
21.00,104.62,11.86,4.50,0.77,0.00,2.99
21.00,90.32,10.68,3.51,0.77,0.01,2.99
21.00,108.87,11.38,3.87,0.82,0.00,3.00
21.00,103.69,9.80,3.63,0.85,0.00,3.00
21.00,100.37,11.61,3.19,0.85,0.01,3.00
21.00,104.66,11.71,3.80,0.85,0.01,3.00
21.00,102.62,11.99,3.75,0.84,0.01,3.00
21.00,103.32,12.03,4.14,0.83,0.00,3.00
26.00,107.61,12.50,3.87,0.82,0.01,3.00
26.00,107.62,12.44,3.96,0.83,0.01,3.00
26.00,110.61,11.26,3.76,0.83,0.01,3.00
26.00,106.24,11.54,3.86,0.83,0.01,3.00
26.00,108.44,12.28,4.00,0.80,0.01,3.00
26.00,111.61,11.60,4.13,0.82,0.01,3.00
21.00,102.49,12.18,4.41,0.78,0.00,3.00
21.00,101.77,11.82,3.49,0.85,0.01,3.02
21.00,101.77,13.33,5.24,0.80,0.00,3.02
21.00,106.25,11.41,4.32,0.84,0.00,3.02
21.00,105.87,11.44,3.75,0.77,0.00,3.02
26.00,108.74,12.27,4.00,0.78,0.01,3.02
26.00,108.87,12.52,3.79,0.82,0.01,3.02
21.00,90.87,10.28,3.33,0.81,0.00,3.02
21.00,106.22,10.83,4.05,0.88,0.00,3.02
21.00,97.99,11.95,4.12,0.86,0.00,3.02
21.00,108.00,10.78,4.04,0.88,0.00,3.02
21.00,98.99,11.20,3.86,0.85,0.00,3.02
21.00,101.42,12.67,4.12,0.88,0.01,3.02
21.00,108.33,10.92,3.88,0.87,0.01,3.02
21.00,107.62,12.07,4.44,0.83,0.01,3.02
21.00,105.12,11.64,4.30,0.77,0.00,3.02
21.00,107.57,12.14,4.95,0.80,0.00,3.02
21.00,106.99,12.10,4.12,0.79,0.00,3.02
32.00,109.74,11.44,4.23,0.89,0.01,3.02
21.00,89.74,10.10,3.47,0.76,0.00,3.02
21.00,105.77,11.22,3.80,0.82,0.00,3.03
21.00,101.00,11.11,3.93,0.86,0.00,3.03
21.00,108.37,11.21,3.63,0.84,0.01,3.03
21.00,107.59,11.94,4.20,0.84,0.01,3.03
21.00,102.37,12.67,4.18,0.86,0.01,3.03
21.00,105.25,11.62,3.49,0.84,0.01,3.03
26.00,108.77,12.27,4.21,0.82,0.01,3.03
26.00,99.80,12.46,4.93,0.90,0.00,3.03
32.00,113.12,12.81,5.24,0.90,0.01,3.03
32.00,106.71,12.57,5.03,0.88,0.01,3.03
21.00,101.44,11.28,3.73,0.88,0.00,3.03
21.00,104.10,11.40,3.73,0.87,0.01,3.03
21.00,104.00,10.99,3.77,0.86,0.01,3.03
21.00,100.70,11.17,3.77,0.85,0.01,3.03
21.00,84.71,10.57,3.50,0.78,0.01,3.03
21.00,103.11,12.29,3.82,0.83,0.00,3.05
26.00,108.99,12.24,4.40,0.85,0.01,3.05
32.00,110.77,13.36,5.55,0.90,0.01,3.05
21.00,105.24,11.18,3.50,0.84,0.00,3.05
21.00,106.11,11.54,3.74,0.82,0.00,3.05
21.00,103.49,10.93,3.56,0.88,0.00,3.05
21.00,103.50,11.51,4.16,0.91,0.00,3.05
21.00,105.24,11.29,3.74,0.85,0.00,3.05
21.00,104.88,11.25,3.86,0.86,0.00,3.05
21.00,104.99,11.73,3.66,0.84,0.01,3.05
21.00,106.33,11.97,4.52,0.86,0.01,3.05
26.00,108.22,12.09,3.81,0.80,0.01,3.05
26.00,104.33,12.39,4.07,0.84,0.01,3.05
32.00,106.44,11.96,4.15,0.89,0.01,3.05
32.00,109.77,11.73,4.48,0.91,0.01,3.05
21.00,90.71,10.63,3.67,0.69,0.01,3.05
21.00,90.62,11.16,4.10,0.76,0.00,3.05
21.00,107.75,11.33,3.84,0.88,0.00,3.05
21.00,108.89,11.57,4.45,0.85,0.01,3.05
21.00,109.85,10.40,3.76,0.75,0.00,3.06
21.00,107.12,11.03,3.78,0.85,0.00,3.06
21.00,107.99,11.80,3.51,0.84,0.01,3.06
26.00,109.59,12.60,4.83,0.86,0.00,3.06
32.00,105.09,12.47,4.60,0.87,0.01,3.06
21.00,89.37,10.18,3.64,0.78,0.00,3.06
21.00,104.37,11.31,3.83,0.85,0.00,3.06
21.00,103.37,11.81,4.02,0.85,0.01,3.06
21.00,108.88,11.05,4.04,0.86,0.01,3.06
26.00,102.50,12.69,4.05,0.86,0.01,3.06
26.00,107.24,12.37,3.79,0.86,0.01,3.06
26.00,111.74,11.59,4.11,0.83,0.01,3.06
26.00,111.66,11.74,4.12,0.83,0.01,3.06
26.00,107.85,12.37,4.06,0.82,0.01,3.06
32.00,112.86,13.24,5.49,0.93,0.01,3.06
21.00,106.77,11.44,3.92,0.88,0.01,3.08
21.00,100.99,11.47,3.40,0.89,0.01,3.08
21.00,98.13,12.49,3.74,0.84,0.01,3.08
26.00,108.33,12.23,3.65,0.80,0.01,3.08
26.00,110.99,12.56,3.97,0.81,0.01,3.08
26.00,105.39,12.16,4.78,0.89,0.00,3.08
32.00,110.44,13.33,5.34,0.91,0.01,3.08
32.00,109.66,11.80,4.56,0.93,0.01,3.08
21.00,91.10,10.55,3.66,0.79,0.00,3.08
26.00,104.55,12.81,4.34,0.84,0.01,3.08
26.00,105.99,12.40,4.31,0.81,0.01,3.08
26.00,99.66,12.19,3.78,0.85,0.01,3.08
21.00,106.12,10.81,3.96,0.89,0.00,3.09
21.00,99.12,11.96,4.28,0.88,0.01,3.09
32.00,109.77,11.19,4.11,0.92,0.01,3.09
21.00,95.27,10.79,3.32,0.73,0.01,3.09
21.00,100.66,10.97,3.77,0.89,0.00,3.09
26.00,109.10,12.18,4.04,0.84,0.01,3.09
26.00,108.12,12.55,3.99,0.81,0.01,3.09
26.00,104.10,13.31,3.90,0.85,0.01,3.09
26.00,111.28,11.71,4.34,0.83,0.01,3.09
26.00,104.87,12.34,4.44,0.87,0.00,3.09
32.00,110.21,13.54,5.59,0.90,0.01,3.09
32.00,111.66,13.42,5.44,0.89,0.01,3.09
21.00,93.10,10.90,3.29,0.79,0.01,3.09
21.00,107.24,11.46,3.95,0.86,0.01,3.11
21.00,103.11,12.14,4.17,0.88,0.01,3.11
21.00,103.24,11.46,4.08,0.84,0.01,3.11
21.00,105.24,11.79,4.58,0.89,0.01,3.11
21.00,100.62,11.31,3.76,0.87,0.01,3.11
21.00,101.00,11.93,4.07,0.85,0.00,3.11
21.00,107.28,11.84,4.54,0.80,0.00,3.11
26.00,108.10,12.03,3.64,0.85,0.01,3.11
21.00,90.99,10.87,3.71,0.75,0.00,3.11
21.00,98.44,10.89,3.74,0.92,0.01,3.11
21.00,104.66,10.87,3.78,0.88,0.01,3.11
26.00,104.49,12.10,4.32,0.88,0.00,3.11
21.00,86.49,11.45,4.72,0.79,0.00,3.11
26.00,103.99,12.22,4.64,0.88,0.00,3.12
21.00,104.10,11.20,3.85,0.86,0.00,3.13
21.00,102.50,11.02,3.81,0.86,0.01,3.13
26.00,108.99,12.35,3.85,0.87,0.01,3.13
26.00,109.37,12.36,3.91,0.86,0.01,3.13
26.00,108.33,12.28,4.00,0.84,0.01,3.13
26.00,99.21,12.28,3.84,0.85,0.01,3.13
26.00,104.69,12.47,5.09,0.90,0.00,3.13
32.00,109.99,13.27,5.58,0.94,0.01,3.13
32.00,108.44,14.73,6.58,0.93,0.01,3.13
32.00,110.44,13.07,5.61,0.91,0.01,3.13
21.00,95.32,10.90,3.35,0.82,0.01,3.13
21.00,92.21,10.70,3.35,0.82,0.01,3.13
21.00,105.49,10.36,3.83,0.88,0.00,3.13
21.00,100.37,11.40,3.66,0.85,0.01,3.13
26.00,98.24,12.09,3.64,0.84,0.01,3.13
21.00,104.77,11.32,3.79,0.93,0.00,3.14
21.00,108.11,11.29,3.65,0.89,0.01,3.14
32.00,110.22,11.85,4.46,0.90,0.01,3.14
21.00,95.49,11.26,3.49,0.78,0.01,3.14
21.00,94.62,10.77,3.48,0.76,0.00,3.14
21.00,105.87,10.89,4.04,0.89,0.00,3.14
21.00,106.37,11.09,3.90,0.78,0.01,3.14
26.00,105.37,11.40,3.56,0.90,0.01,3.14
26.00,104.22,12.28,4.58,0.89,0.00,3.14
32.00,109.87,13.60,5.43,0.93,0.01,3.14
32.00,106.88,12.22,4.23,0.88,0.01,3.14
21.00,91.55,11.89,4.35,0.84,0.00,3.14
26.00,105.37,12.90,3.84,0.81,0.01,3.16
21.00,106.66,11.32,3.88,0.89,0.00,3.16
21.00,102.60,11.43,3.80,0.88,0.00,3.16
21.00,109.99,10.40,3.48,0.87,0.00,3.16
21.00,101.77,10.77,3.82,0.90,0.00,3.16
21.00,104.77,11.39,3.94,0.91,0.00,3.16
21.00,107.21,10.90,3.50,0.90,0.01,3.16
21.00,100.99,11.94,4.06,0.78,0.00,3.16
21.00,104.33,12.22,4.71,0.84,0.00,3.16
26.00,101.77,12.24,3.71,0.86,0.01,3.16
26.00,101.49,12.19,3.74,0.92,0.01,3.16
26.00,100.10,12.73,4.06,0.88,0.01,3.16
26.00,104.99,11.71,4.08,0.85,0.01,3.16
26.00,111.12,11.54,4.17,0.81,0.01,3.16
32.00,110.66,14.12,5.84,0.92,0.01,3.16
32.00,107.49,12.34,4.79,0.92,0.01,3.16
21.00,102.88,11.16,3.53,0.86,0.00,3.16
21.00,104.77,11.60,3.58,0.91,0.01,3.16
26.00,111.42,12.10,4.04,0.84,0.01,3.16
26.00,111.86,11.65,4.01,0.74,0.01,3.16
32.00,113.36,13.13,5.59,0.91,0.01,3.16
26.00,109.86,11.61,4.47,0.89,0.00,3.17
26.00,104.44,12.47,5.18,0.90,0.00,3.17
21.00,104.66,11.29,3.81,0.89,0.00,3.17
21.00,104.42,10.99,3.86,0.87,0.00,3.17
21.00,104.77,11.79,3.77,0.86,0.01,3.17
21.00,100.09,12.03,3.80,0.91,0.01,3.17
21.00,104.33,11.17,3.33,0.88,0.01,3.17
32.00,108.33,15.09,6.43,0.91,0.01,3.17
32.00,113.11,13.44,5.66,0.90,0.01,3.17
32.00,106.09,12.20,4.77,0.93,0.01,3.17
32.00,106.66,12.51,4.47,0.93,0.01,3.17
21.00,95.62,10.86,3.00,0.81,0.00,3.17
21.00,100.87,11.56,3.33,0.89,0.01,3.19
21.00,107.99,11.93,4.21,0.92,0.01,3.19
21.00,101.12,11.13,3.80,0.90,0.00,3.19
26.00,108.11,12.22,3.83,0.93,0.01,3.19
26.00,104.55,12.22,4.40,0.92,0.00,3.19
32.00,108.99,13.57,5.32,0.95,0.01,3.19
32.00,113.10,12.67,5.50,0.95,0.01,3.19
32.00,110.32,13.44,5.28,0.96,0.01,3.19
32.00,110.10,15.08,6.56,0.91,0.01,3.19
21.00,89.86,10.16,3.48,0.78,0.01,3.19
21.00,104.99,11.17,3.54,0.93,0.00,3.19
21.00,106.12,10.68,3.54,0.91,0.00,3.19
32.00,109.99,11.69,4.36,0.92,0.01,3.19
32.00,106.66,11.79,4.09,0.90,0.01,3.19
21.00,95.12,10.96,3.60,0.86,0.01,3.19
26.00,104.33,11.69,4.07,0.88,0.01,3.20
21.00,103.77,11.49,3.79,0.88,0.00,3.20
21.00,105.62,10.78,3.99,0.90,0.00,3.20
21.00,104.22,11.13,3.85,0.91,0.01,3.20
21.00,103.66,12.03,3.80,0.92,0.01,3.20
21.00,105.11,11.73,3.77,0.88,0.01,3.20
21.00,102.74,11.00,3.94,0.92,0.01,3.20
21.00,106.24,12.56,4.33,0.91,0.01,3.20
26.00,108.12,12.03,3.97,0.82,0.01,3.20
26.00,96.77,12.83,3.58,0.89,0.01,3.20
26.00,105.55,12.32,4.38,0.94,0.00,3.20
26.00,104.21,12.47,4.71,0.91,0.00,3.20
26.00,104.33,11.70,4.15,0.91,0.00,3.20
32.00,111.36,13.25,5.16,0.94,0.01,3.20
32.00,110.99,13.10,5.37,0.94,0.01,3.20
32.00,110.21,13.72,5.67,0.93,0.01,3.20
32.00,109.32,14.67,6.15,0.96,0.01,3.20
32.00,104.49,14.07,5.53,0.94,0.00,3.20
21.00,94.12,10.79,3.30,0.81,0.00,3.20
21.00,93.90,11.73,3.58,0.86,0.00,3.20
21.00,103.61,10.40,3.84,0.88,0.00,3.20
21.00,107.99,11.13,3.85,0.90,0.01,3.20
32.00,109.88,13.32,5.41,0.92,0.01,3.20
21.00,102.55,11.99,4.09,0.86,0.00,3.22
21.00,100.33,11.32,3.94,0.95,0.00,3.22
21.00,105.77,10.81,3.98,0.90,0.00,3.22
21.00,108.10,11.29,3.88,0.86,0.00,3.22
21.00,105.87,10.79,3.92,0.89,0.01,3.22
21.00,99.88,11.63,4.04,0.95,0.01,3.22
21.00,101.21,12.28,4.16,0.90,0.01,3.22
26.00,104.12,12.20,4.21,0.90,0.00,3.22
26.00,104.10,12.44,4.76,0.89,0.00,3.22
32.00,111.44,13.14,5.53,0.93,0.01,3.22
32.00,106.99,12.38,4.69,0.93,0.01,3.22
32.00,105.88,14.40,6.00,0.88,0.00,3.22
21.00,101.62,11.16,3.95,0.89,0.01,3.23
21.00,106.12,11.70,4.23,0.87,0.01,3.23
21.00,103.77,12.98,5.19,0.80,0.00,3.23
26.00,104.10,12.38,3.57,0.88,0.01,3.23
26.00,111.49,11.54,4.18,0.86,0.01,3.23
26.00,98.66,12.11,3.83,0.93,0.01,3.23
26.00,104.00,12.17,3.60,0.88,0.01,3.23
26.00,108.88,11.85,4.69,0.96,0.00,3.23
32.00,113.36,13.17,5.66,0.84,0.01,3.23
32.00,99.49,13.33,4.79,0.93,0.01,3.23
32.00,108.33,11.63,3.94,0.94,0.01,3.23
32.00,110.11,11.87,4.38,0.94,0.01,3.23
32.00,102.09,13.22,5.61,0.95,0.00,3.23
21.00,90.10,10.38,3.27,0.78,0.01,3.23
21.00,89.88,11.20,4.34,0.78,0.01,3.23
21.00,103.55,11.61,3.99,0.89,0.01,3.24
21.00,103.24,11.20,3.84,0.87,0.00,3.24
21.00,106.12,10.80,3.98,0.89,0.01,3.24
21.00,104.10,13.01,5.21,0.87,0.00,3.24
26.00,103.66,12.19,4.61,0.90,0.00,3.24
26.00,98.70,11.68,4.40,0.98,0.00,3.24
21.00,91.10,10.46,3.63,0.87,0.01,3.24
26.00,111.24,11.39,3.65,0.90,0.01,3.25
21.00,100.66,10.87,3.70,0.97,0.00,3.25
21.00,100.99,11.83,3.84,0.91,0.01,3.25
21.00,102.99,11.09,3.98,0.91,0.01,3.25
26.00,106.42,12.18,3.41,0.86,0.01,3.25
26.00,98.66,11.99,3.73,0.93,0.01,3.25
26.00,107.99,12.25,3.64,0.86,0.01,3.25
26.00,110.33,11.53,4.66,0.94,0.00,3.25
26.00,103.99,12.24,4.35,0.96,0.00,3.25
26.00,104.33,12.32,4.58,0.91,0.00,3.25
26.00,110.11,11.90,4.76,0.92,0.00,3.25
26.00,109.22,11.75,4.53,0.99,0.00,3.25
26.00,102.08,12.87,4.72,0.96,0.00,3.25
26.00,103.10,12.38,4.64,0.92,0.00,3.25
32.00,108.44,14.24,5.74,0.98,0.01,3.25
32.00,112.74,12.46,4.97,0.97,0.01,3.25
32.00,111.21,13.87,6.02,0.97,0.01,3.25
32.00,108.33,14.67,6.16,0.96,0.01,3.25
32.00,110.77,13.29,5.48,0.97,0.01,3.25
32.00,109.88,12.77,4.82,0.94,0.01,3.25
21.00,95.99,12.56,4.59,0.77,0.00,3.25
26.00,104.33,12.03,4.44,0.91,0.00,3.26
21.00,105.10,11.23,3.94,0.97,0.00,3.27
21.00,103.22,11.12,3.21,0.90,0.01,3.27
26.00,97.40,12.61,3.70,0.92,0.01,3.27
26.00,103.99,12.82,4.59,0.97,0.00,3.27
32.00,110.86,14.94,6.18,0.96,0.01,3.27
32.00,106.79,13.86,5.35,0.95,0.01,3.27
32.00,109.55,13.75,5.51,0.96,0.01,3.27
32.00,106.36,14.10,5.89,0.94,0.00,3.27
21.00,106.55,11.20,3.51,0.93,0.00,3.27
21.00,103.44,11.18,3.43,0.93,0.01,3.27
21.00,103.22,12.47,4.25,0.91,0.01,3.27
21.00,103.88,11.18,3.57,0.91,0.01,3.27
26.00,106.10,12.45,4.20,0.94,0.01,3.27
32.00,110.66,13.51,5.31,0.96,0.01,3.27
32.00,106.77,12.02,4.30,0.92,0.01,3.27
32.00,105.90,12.28,4.95,0.93,0.00,3.27
32.00,109.09,13.51,5.55,0.94,0.00,3.27
21.00,91.62,10.70,3.30,0.80,0.00,3.27
21.00,97.28,11.33,3.76,0.96,0.00,3.28
21.00,104.10,11.16,3.22,0.89,0.01,3.28
26.00,103.66,11.29,3.65,0.89,0.01,3.28
26.00,109.61,11.49,4.19,0.93,0.00,3.28
26.00,104.99,11.96,4.24,0.96,0.00,3.28
26.00,104.22,12.36,5.02,0.93,0.00,3.28
26.00,104.44,12.08,4.40,0.95,0.00,3.28
32.00,108.33,13.21,5.32,1.00,0.01,3.28
32.00,110.33,11.46,4.31,0.95,0.01,3.28
21.00,91.08,10.74,3.48,0.90,0.01,3.28
26.00,104.79,11.91,4.35,0.95,0.00,3.28
32.00,109.99,13.82,5.75,0.96,0.01,3.28
32.00,104.77,11.11,4.25,0.91,0.00,3.28
21.00,104.22,11.50,3.65,0.95,0.00,3.30
21.00,105.12,12.02,4.41,0.93,0.01,3.30
26.00,97.88,11.96,4.05,0.91,0.01,3.30
26.00,100.39,11.79,3.63,0.93,0.01,3.30
26.00,105.22,12.44,4.77,0.94,0.00,3.30
26.00,109.88,11.71,4.22,0.93,0.00,3.30
26.00,110.49,11.95,4.66,0.96,0.00,3.30
32.00,107.29,12.36,4.23,0.96,0.01,3.30
21.00,89.57,10.39,3.11,0.86,0.00,3.30
21.00,95.19,10.95,4.03,0.86,0.01,3.30
21.00,101.55,11.22,3.72,0.91,0.00,3.31
21.00,104.62,11.31,3.90,0.94,0.00,3.31
21.00,103.99,11.94,3.82,0.96,0.01,3.31
26.00,105.11,12.28,4.73,0.96,0.00,3.31
32.00,110.10,13.18,5.16,0.99,0.01,3.31
21.00,96.10,10.72,3.55,0.82,0.00,3.31
21.00,100.44,10.97,3.73,0.96,0.00,3.31
21.00,107.10,10.80,3.71,0.99,0.00,3.31
21.00,102.90,11.37,4.03,0.96,0.00,3.31
21.00,105.50,10.99,3.90,0.94,0.00,3.31
21.00,103.32,11.61,3.81,0.94,0.01,3.31
21.00,102.55,11.82,3.91,0.93,0.01,3.31
21.00,102.27,11.44,3.58,0.94,0.01,3.31
26.00,109.32,12.25,4.01,0.88,0.01,3.31
26.00,103.99,12.26,4.98,0.94,0.00,3.31
26.00,102.44,12.80,4.54,0.96,0.00,3.31
32.00,112.39,12.87,5.72,0.99,0.01,3.31
32.00,110.10,13.32,5.51,0.96,0.01,3.31
32.00,109.61,11.36,3.76,0.96,0.01,3.31
32.00,109.88,11.75,4.15,0.96,0.01,3.31
21.00,95.66,11.16,4.13,0.91,0.01,3.31
21.00,105.66,11.30,4.35,0.99,0.00,3.33
21.00,97.25,11.18,3.85,0.92,0.00,3.33
21.00,105.62,11.71,3.60,0.94,0.01,3.33
21.00,106.74,10.88,3.92,0.95,0.00,3.33
21.00,99.10,11.89,3.80,0.95,0.01,3.33
21.00,99.44,12.37,3.73,0.91,0.01,3.33
26.00,103.44,11.43,3.77,0.91,0.01,3.33
26.00,102.21,12.56,4.64,0.95,0.00,3.33
26.00,101.45,13.11,4.65,0.92,0.00,3.33
26.00,100.99,12.64,4.46,0.97,0.00,3.33
26.00,99.45,13.73,4.43,0.98,0.00,3.33
26.00,103.77,12.38,4.71,0.94,0.00,3.33
26.00,103.66,12.29,4.74,0.95,0.00,3.33
32.00,113.49,13.69,5.63,0.97,0.01,3.33
32.00,107.19,11.88,4.56,0.97,0.01,3.33
32.00,107.29,11.70,4.11,0.94,0.01,3.33
32.00,110.10,12.11,4.87,0.97,0.01,3.33
32.00,110.19,12.54,4.93,0.97,0.01,3.33
32.00,106.79,11.82,4.14,0.93,0.01,3.33
32.00,94.55,10.50,4.41,0.96,0.00,3.33
32.00,103.33,14.11,5.54,0.90,0.00,3.33
21.00,93.19,11.69,4.50,0.91,0.00,3.33
21.00,103.99,11.10,3.43,0.93,0.01,3.33
26.00,100.77,12.09,3.57,0.81,0.01,3.33
32.00,106.32,13.39,4.99,1.00,0.01,3.33
21.00,95.43,10.79,3.73,0.86,0.01,3.33
21.00,90.32,10.51,4.01,0.88,0.01,3.33
21.00,102.00,10.88,3.58,0.93,0.00,3.34
26.00,104.33,12.71,4.02,0.93,0.01,3.34
26.00,109.74,12.16,5.01,0.95,0.00,3.34
32.00,105.77,11.93,4.22,0.94,0.01,3.34
21.00,104.36,11.19,3.77,0.89,0.00,3.34
21.00,108.11,10.45,3.85,0.92,0.00,3.34
26.00,101.99,12.08,3.59,0.87,0.01,3.34
26.00,102.49,12.57,4.28,0.97,0.00,3.34
26.00,107.44,12.16,3.84,0.88,0.01,3.36
26.00,99.30,11.78,3.71,0.95,0.01,3.36
26.00,100.00,12.87,4.75,0.98,0.00,3.36
26.00,106.21,12.69,4.81,0.97,0.00,3.36
26.00,104.33,11.93,4.60,0.96,0.00,3.36
32.00,111.69,13.19,5.40,1.02,0.01,3.36
32.00,109.49,11.67,4.27,0.97,0.01,3.36
32.00,107.55,12.39,4.64,0.96,0.01,3.36
32.00,110.12,11.84,4.48,0.98,0.01,3.36
32.00,109.79,13.65,5.39,0.93,0.00,3.36
21.00,100.77,11.42,3.72,0.94,0.00,3.36
21.00,106.49,11.90,4.34,0.94,0.01,3.36
26.00,104.32,12.42,3.76,0.90,0.01,3.36
26.00,104.11,11.65,4.28,0.94,0.00,3.36
26.00,103.44,12.71,4.65,0.96,0.00,3.36
32.00,95.60,10.52,4.43,0.97,0.00,3.36
21.00,90.90,11.10,4.00,0.91,0.01,3.36
21.00,94.39,12.22,4.84,0.89,0.01,3.36
32.00,91.50,10.98,4.34,0.99,0.00,3.37
21.00,99.55,11.61,3.37,0.95,0.01,3.38
21.00,103.88,11.89,3.84,0.94,0.01,3.38
21.00,100.09,12.07,3.71,0.94,0.01,3.38
21.00,102.87,10.84,3.45,0.92,0.01,3.38
21.00,103.66,11.30,3.66,0.95,0.01,3.38
26.00,105.10,12.53,3.81,0.93,0.01,3.38
